name,latitude,longitude,inf_type
Novofedorivka,45.2937585,35.0612562,City/Town
Orikhivka,45.2652839,35.0996054,City/Town
Sofiivka,45.273275,35.1247449,City/Town
Trudoliubivka,45.2158784,35.1527616,City/Town
Krasnohvardiiske,45.4869963,34.2911292,City/Town
Vydne,45.5024348,34.3344783,City/Town
Oktiabrske,45.2931738,34.1289455,City/Town
Oleksandrivka,45.5771716,34.0943653,City/Town
Krasnodarka,45.6084295,34.0851951,City/Town
Tymashivka,45.5507755,34.1317845,City/Town
Amurske,45.2820945,34.1311243,City/Town
Iskra,45.2647358,34.182502,City/Town
Novozuivka,45.2382058,34.152872,City/Town
Novoivanivka,45.3093402,34.110529,City/Town
Novooleksiievka,45.2938948,34.1093982,City/Town
Tsvitkove,45.3134608,34.1640619,City/Town
Voskhod,45.5086417,34.3937961,City/Town
Volodymyrove,45.4603722,34.4350639,City/Town
Dokhodne,45.4844292,34.3860866,City/Town
Zoria,45.5037001,34.5219116,City/Town
Znamianka,45.5437423,34.3515504,City/Town
Klymove,45.4969541,34.4735368,City/Town
Nakhimove,45.5265699,34.4993609,City/Town
Novosiltsi,45.478979,34.4293343,City/Town
Plodorodne,45.5370506,34.3929974,City/Town
Chapaieve,45.5298833,34.424323,City/Town
Zernove,45.324179,34.4787229,City/Town
Novokaterynivka,45.3637358,34.5354464,City/Town
Kalinine,45.5947595,34.2187061,City/Town
Vyshniakivka,45.6156109,34.2373361,City/Town
Komunary,45.5506622,34.2237723,City/Town
Pobiedyne,45.6124715,34.2024292,City/Town
Klepynine,45.5230567,34.1856821,City/Town
Karpivka,45.5247326,34.0815907,City/Town
Yastrubivka,45.5165264,34.1140476,City/Town
Kolodiazne,45.2283486,34.3368453,City/Town
Dokuchaieve,45.2932754,34.3688656,City/Town
Polohy,45.2487254,34.3926959,City/Town
Kotelnykove,45.367739,34.0261654,City/Town
Dibrivske,45.388388,34.1204832,City/Town
Mashyne,45.3879588,34.1391488,City/Town
Krasnoznamianka,45.2879987,33.9975624,City/Town
Raduzhne,45.294557,34.0190282,City/Town
Rohove,45.3245165,33.9624308,City/Town
Symonenko,45.2993645,33.8972661,City/Town
Tymoshenko,45.289538,33.971771,City/Town
Traktove,45.3098479,33.9099063,City/Town
Leninske,45.2785726,34.0530159,City/Town
Zvizdne,45.2805793,34.0666706,City/Town
Priame,45.3169647,34.0244082,City/Town
Marianivka,45.4432046,34.2939925,City/Town
Ulianovka,45.443425,34.3450729,City/Town
Shcherbakove,45.4824823,34.3499302,City/Town
Naidonivka,45.2771366,34.4479973,City/Town
Zolote,45.2793039,34.5369076,City/Town
Orlivka,45.2509124,34.4791169,City/Town
Novopokrovka,45.4218911,34.4505184,City/Town
Krasna Dolyna,45.4371864,34.5153924,City/Town
Myronivka,45.4005896,34.4474191,City/Town
Muskatne,45.4656645,34.5384841,City/Town
Nevske,45.4565647,34.4763128,City/Town
Novodolynka,45.4261697,34.5191161,City/Town
Protochne,45.4146443,34.4938291,City/Town
Petrivka,45.5069603,34.2900563,City/Town
Blyzhnie,45.5223253,34.2979261,City/Town
Izvestkove,45.4826485,34.0008404,City/Town
Krasna Poliana,45.4736965,34.1279865,City/Town
Kremnivka,45.468764,34.085577,City/Town
Myroliubivka,45.4732176,34.2216524,City/Town
Novoestoniia,45.4996231,34.2410225,City/Town
Pushkine,45.5388257,34.3046937,City/Town
Poltavka,45.3517671,34.186861,City/Town
Komarivka,45.3552356,34.1579823,City/Town
Kurhanne,45.293602,34.1978605,City/Town
Piatykhatka,45.3250205,34.262004,City/Town
Azov,45.3231069,34.3377697,City/Town
Zarichne,45.304065,34.2805945,City/Town
Mendelieieve,45.3248398,34.1996385,City/Town
Salhyrka,45.3292424,34.2941725,City/Town
Kholmove,45.3261841,34.3762533,City/Town
Rivne,45.347602,34.3476127,City/Town
Molochne,45.3910325,34.3360271,City/Town
Nekrasove,45.423157,34.2843885,City/Town
Novomykilske,45.3936773,34.3847218,City/Town
Yantarne,45.4331857,34.2182167,City/Town
Hryhorivka,45.4215156,34.1218026,City/Town
Krasnyi Partyzan,45.4012007,34.2201254,City/Town
Udachne,45.3913024,34.2832708,City/Town
Bratske,45.8306074,33.9204007,City/Town
Poltavske,45.7903734,33.9060064,City/Town
Svatove,45.8125823,33.8638124,City/Town
Vyshnivka,45.9595406,33.9510093,City/Town
Zelena Nyva,45.9337217,33.8932535,City/Town
