name,latitude,longitude,inf_type,population
Bashkivtsi,50.1316019,25.8741527,City/Town,
Bashlyky,50.8239839,25.8453188,City/Town,
Bashmachka,48.157825,35.0043891,City/Town,
Bashova,50.8913906,25.1720432,City/Town,
Bashtanivka,44.6905942,33.9009142,City/Town,
Bashtanka,47.4059529,32.4363123,City/Town,
Bashtankiv,48.1080771,28.9955619,City/Town,
Bashtechky,49.243248,30.324531,City/Town,
Bashtevych,48.3715141,38.8675226,City/Town,
Bashtyne,48.2112021,33.1827945,City/Town,
Bashuky,49.8242657,25.5291492,City/Town,
Bashylivka,48.6690317,36.6870785,City/Town,
Bashyne,50.5306438,26.5744117,City/Town,
Basivka,50.8351616,33.584428,City/Town,
Basivshchyna,50.7581627,34.5849382,City/Town,
Basove,50.4173128,35.8812182,City/Town,
Bastova Rudnia,50.7482602,27.9823123,City/Town,
Basy,49.2784776,31.8750223,City/Town,
Batalne,45.1942042,35.6164063,City/Town,
Batalyi,49.4720174,32.5639568,City/Town,
Batfa,48.5698041,22.1912724,City/Town,
Batiatychi,50.107713,24.267331,City/Town,
Batiushky,48.8680791,36.5360811,City/Town,
Batkiv,49.8382913,25.2325902,City/Town,
Batkivshchyna,51.0698688,28.982245,City/Town,
Batkivtsi,50.287546,26.2566365,City/Town,
Batky,50.0297494,34.5670481,City/Town,
Batovo,48.3639826,22.395137,City/Town,
Batrad,48.3177161,22.40385,City/Town,
Batseve,51.0056163,27.4244298,City/Town,
Batsmany,50.7591935,33.2914001,City/Town,
Baturyn,51.3521389,32.8667484,City/Town,
Batyiv,50.2796395,24.8679045,City/Town,
Batyr,48.1728708,39.7016631,City/Town,
Bavoriv,49.4410142,25.7146234,City/Town,
Bazaliia,49.7127004,26.4687432,City/Town,
Bazaliivka,49.8317044,36.985318,City/Town,
Bazaltove,50.9258386,26.2401358,City/Town,
Bazaluky,49.1412517,33.6910292,City/Town,
Bazar,51.0470513,29.2960254,City/Town,
Bazarianka,45.8847967,30.1434556,City/Town,
Bazarivka,51.2573279,28.718687,City/Town,
Bazarove,48.1158527,33.2104596,City/Town,
Bazaryntsi,49.6799065,25.7796583,City/Town,
Bazavluchok,47.9517503,34.0257926,City/Town,
Bazelivshchyna,52.0336075,33.8049522,City/Town,
Bazhanivka,50.6798123,31.9515095,City/Town,
